"y" "ga" "x"
"1" 360.46 47.41 82
"2" 73.29 54.08 69
"3" 187.44 56.47 129
"4" 50.76 59.85 133
"5" 14.54 33.29 20
"6" 25.89 49.54 105
"7" 4.18 17.85 15
"8" 29.58 32.63 59
"9" 11.86 25.61 38
"10" 0.46 18.97 21
"11" 1110.98 46.92 142
"12" 40.6 48.94 32
"13" 298.18 46.6 81
"14" 63.61 53.25 44
"15" 33.93 36.49 30
"16" 1619.03 45.21 122
"17" 176.36 34.94 61
"18" 36.93 29.06 10
"19" 143.19 56.99 82
"20" 58.2 51.23 28
"21" 155.65 24.13 106
"22" 135.32 37.32 128
"23" 51.49 36.78 121
"24" 1851.42 29.41 137
"25" 1.14 26.95 6
"26" 1855.51 61.92 145
"27" 184.37 27.65 119
"28" 1714.87 62.63 113
"29" 91.65 49.05 96
"30" 4.28 36.82 66
"31" 29.87 27.39 36
"32" 55.43 42.93 25
"33" 30.31 24.7 63
"34" 600.71 41.12 120
"35" 21.32 46.22 101
"36" 233.64 30.55 116
"37" 898.86 28.67 141
"38" 126.97 48.75 115
"39" 135.53 42.89 121
"40" 268.37 44.29 90
"41" 2624.95 57.88 143
"42" 1625.67 33.38 149
"43" 325.62 47.06 113
"44" 128.3 34.26 71
"45" 12.91 21.31 69
"46" 134.45 55.63 96
"47" 27.36 41.04 15
"48" 8.6 16.97 58
"49" 1.28 4.81 15
"50" 1474.39 63.45 127
"51" 66.94 31.02 46
"52" 1219.61 51.53 143
"53" 34.6 38.78 70
"54" 1.52 27.59 12
"55" 244.14 43.48 56
"56" 18.31 15.52 32
"57" 137.14 36.15 98
"58" 78.7 39.47 66
"59" 270.35 53.71 100
"60" 8.95 28.68 55
"61" 5.43 25 12
"62" 100.29 36.93 83
"63" 64.03 41.27 19
"64" 653.58 40.97 123
"65" 5581.13 68.71 144
"66" 301.52 55.68 69
"67" 6.59 32.69 78
"68" 82.47 33.85 76
"69" 58.98 52.18 94
"70" 61.65 35.66 85
"71" 1718.29 52.2 142
"72" 5779.34 63.15 145
"73" 1101.9 50 119
"74" 65.37 53.02 85
"75" 23.51 56.31 39
"76" 12.85 40.46 40
"77" 0.05 35.39 10
"78" 134.77 51.37 78
"79" 988.45 56.11 139
"80" 0.88 34.03 37
"81" 688.36 42.71 129
"82" 7.46 25.62 15
"83" 1.59 39.15 37
"84" 159.21 43.73 120
"85" 197.13 34.26 112
"86" 1274.37 45.53 128
"87" 423.92 64.95 102
"88" 2.23 39.9 81
"89" 116.23 44.13 73
"90" 16.52 50.81 69
"91" 68.35 35.23 32
"92" 77.87 45.44 78
"93" 411.54 48.91 109
"94" 22.42 34.41 40
"95" 362.07 42.58 127
"96" 27.97 43.4 58
"97" 25.49 34.77 70
"98" 1.12 29.37 10
"99" 16.02 22.76 94
"100" 110.75 51.6 95
